
=== All PRNGs ===
Rank | Params           | Last Pass | Last Test  | Last Iter   | Total All   | No Anom | P-Value    | Iters
 135 | 1 0 2 15 25 12   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 136 | 1 0 2 16 29 15   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 137 | 1 0 2 18 17 6    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 138 | 1 0 2 19 27 7    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 139 | 1 0 2 21 14 12   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 140 | 1 0 2 21 26 30   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 141 | 1 0 2 21 29 7    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 142 | 1 0 2 25 17 5    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 143 | 1 0 2 27 22 15   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 144 | 1 0 2 27 31 7    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 145 | 1 0 2 28 18 7    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 146 | 1 0 2 29 8 18    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 147 | 1 0 2 29 16 17   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 148 | 1 0 2 31 19 14   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 149 | 0 1 0 5 16 14    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 150 | 0 1 0 11 19 3    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 151 | 0 1 0 23 6 1     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 152 | 0 1 1 4 1 13     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 153 | 0 1 1 6 1 10     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 154 | 0 1 1 7 15 23    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 155 | 0 1 1 12 7 20    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 156 | 0 1 1 15 1 15    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 157 | 0 1 2 1 7 19     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 158 | 0 1 2 8 29 18    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 159 | 0 1 2 13 14 24   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 160 | 0 1 2 15 25 20   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 161 | 0 1 2 21 14 20   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 162 | 0 1 2 23 20 11   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 163 | 0 1 2 24 21 7    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 164 | 0 1 2 27 14 6    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
