# Run started: 2025-09-20T09:55:17-07:00
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 41): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 43): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 44): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 46): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 45): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 47): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 48): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 49): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 51): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 52): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 53): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 50): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 55): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 56): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 54): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 57): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 61): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 58): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 59): NOT OK
